Model,Valid_RMSE,Valid_MAE,Valid_R2
Gradient Boosting,20666.209752761977,14386.197099189189,0.9226804297473634
Hybrid Tree Stacking,20959.055266131192,14253.49608678282,0.9204736278339736
Extra Trees,21295.740985752942,14990.011338249205,0.9178980867979247
PCA + Ridge,21772.72810036341,15557.038162405743,0.9141790211259393
Linear Regression,22734.18984498672,15685.258696778077,0.9064321328023556
Random Forest,23618.13807768465,15704.19350035,0.8990144860413722
