Feature,Importance
cat__Neighborhood_Timber,0.00053328916
cat__GarageType_BuiltIn,0.000532265
cat__Exterior1st_HdBoard,0.0004954924
cat__LandContour_Low,0.0004935126
num__MiscVal,0.00047866677
cat__GarageType_Attchd,0.0004777582
cat__Exterior2nd_Wd Sdng,0.00047448452
cat__GarageQual_TA,0.0004739736
cat__Electrical_FuseF,0.00046691796
cat__LotShape_IR1,0.0004594743
cat__FireplaceQu_Fa,0.00045794583
cat__Electrical_SBrkr,0.00045459814
num__BsmtFinSF2,0.00045430425
cat__MasVnrType_BrkFace,0.00045399016
cat__Neighborhood_CollgCr,0.0004402388
cat__Exterior2nd_HdBoard,0.00043759024
num__FullBath,0.000435052
cat__Functional_Min2,0.0004270782
cat__HouseStyle_2Story,0.00042489456
cat__SaleCondition_Alloca,0.00041878686
cat__Exterior2nd_Stucco,0.00041848025
cat__Neighborhood_MeadowV,0.00041723522
num__BsmtFullBath,0.00040358078
cat__Alley_Grvl,0.0003917258
num__School_Score_Norm,0.00038978484
cat__Functional_Min1,0.0003760707
cat__Exterior2nd_AsbShng,0.00037422197
cat__BsmtFinType2_ALQ,0.00035188787
cat__LotShape_IR3,0.0003356534
cat__Condition1_PosN,0.00031964318
cat__Neighborhood_Veenker,0.00031240546
cat__BsmtFinType1_LwQ,0.00029428385
cat__Exterior1st_CemntBd,0.00025288344
cat__BsmtExposure_Av,0.00023516259
cat__BsmtCond_TA,0.00019579387
cat__Foundation_BrkTil,0.00015865723
cat__BsmtCond_Gd,0.00015098808
cat__Condition1_Feedr,0.0001255326
cat__ExterQual_Ex,6.2033985e-05
cat__SaleCondition_AdjLand,0.0
cat__School_Rating_Category_Real_Acceptable,0.0
cat__LandContour_Bnk,0.0
num__3SsnPorch,0.0
cat__School_Rating_Category_Real_Needs Improvement,0.0
cat__School_Rating_Category_Real_Commendable,0.0
cat__GarageType_2Types,0.0
cat__Matched_School_Sawyer Elementary School,0.0
cat__Street_Pave,0.0
num__BsmtHalfBath,0.0
cat__Functional_Maj1,0.0
cat__Alley_Pave,0.0
cat__Matched_School_Mitchell Elementary School,0.0
cat__Street_Grvl,0.0
cat__FireplaceQu_Ex,0.0
cat__Fence_MnWw,0.0
num__HasPool,0.0
cat__GarageType_CarPort,0.0
cat__SaleType_CWD,0.0
num__City_Poverty_Rate,0.0
num__City_Levy,0.0
cat__PoolQC_Gd,0.0
cat__PoolQC_Fa,0.0
cat__PoolQC_Ex,0.0
cat__PavedDrive_P,0.0
num__HasGarage,0.0
cat__MiscFeature_Othr,0.0
cat__GarageCond_Po,0.0
cat__MiscFeature_Shed,0.0
cat__MiscFeature_TenC,0.0
num__City_Median_Age,0.0
cat__GarageCond_Gd,0.0
num__Has2ndFloor,0.0
cat__SaleType_Con,0.0
cat__SaleType_ConLI,0.0
cat__GarageCond_Ex,0.0
cat__SaleType_ConLw,0.0
num__City_Median_Income,0.0
cat__GarageQual_Po,0.0
cat__GarageQual_Gd,0.0
cat__GarageQual_Fa,0.0
cat__GarageQual_Ex,0.0
num__HasBasement,0.0
cat__MiscFeature_Gar2,0.0
cat__SaleType_Oth,0.0
cat__Condition2_PosN,0.0
cat__Neighborhood_Blmngtn,0.0
cat__Electrical_FuseP,0.0
cat__Exterior2nd_ImStucc,0.0
cat__RoofMatl_Roll,0.0
cat__RoofMatl_WdShake,0.0
cat__RoofMatl_WdShngl,0.0
cat__Condition1_RRAn,0.0
cat__Exterior1st_AsphShn,0.0
cat__Exterior1st_BrkComm,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_ImStucc,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior1st_Stucco,0.0
cat__Condition1_PosA,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior2nd_BrkFace,0.0
cat__RoofMatl_Metal,0.0
cat__Condition1_RRNe,0.0
cat__RoofStyle_Shed,0.0
cat__Condition2_Norm,0.0
cat__Condition2_RRAn,0.0
cat__Condition2_RRNn,0.0
cat__Condition2_PosA,0.0
cat__BldgType_2fmCon,0.0
cat__BldgType_Twnhs,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_2.5Fin,0.0
cat__RoofStyle_Mansard,0.0
cat__HouseStyle_2.5Unf,0.0
cat__HouseStyle_SFoyer,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_Artery,0.0
cat__RoofStyle_Gambrel,0.0
cat__Condition1_RRNn,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_Other,0.0
cat__Utilities_AllPub,0.0
cat__Exterior2nd_Stone,0.0
cat__Neighborhood_Blueste,0.0
cat__Condition2_RRAe,0.0
cat__BsmtFinType2_GLQ,0.0
cat__BsmtFinType2_LwQ,0.0
cat__BsmtFinType2_Rec,0.0
cat__BsmtFinType2_Unf,0.0
cat__Heating_Floor,0.0
cat__Heating_GasA,0.0
cat__Heating_GasW,0.0
cat__Heating_Grav,0.0
cat__Heating_OthW,0.0
cat__Heating_Wall,0.0
cat__LotConfig_FR3,0.0
cat__HeatingQC_Po,0.0
cat__Utilities_NoSeWa,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Edwards,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_NWAmes,0.0
cat__Exterior2nd_VinylSd,0.0
cat__MasVnrType_BrkCmn,0.0
cat__ExterCond_Ex,0.0
cat__Neighborhood_SawyerW,0.0
cat__ExterCond_Po,0.0
cat__Neighborhood_NridgHt,0.0
cat__Foundation_Slab,0.0
cat__BsmtCond_Po,0.0
cat__Foundation_Stone,0.0
cat__Foundation_Wood,0.0
cat__Neighborhood_NPkVill,0.0
cat__BsmtQual_Fa,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_IDOTRR,0.0
cat__School_Merge_Type_Exact name-based school proxy,0.0
