Model,Valid_RMSE,Valid_MAE,Valid_R2
XGBoost,19604.455284347114,13904.941111943484,0.9304211373845847
Gradient Boosting,20398.1056853691,14331.202436235637,0.9246735603418523
Hybrid Tree Stacking,20452.31976679713,14241.72152646129,0.9242726230493084
PCA + Ridge,21989.75955803639,15854.06428473334,0.9124595596334322
Extra Trees,22124.65633663541,15549.181529139434,0.9113822268456532
Linear Regression,22750.08576259987,15693.055824587036,0.9063012403359396
Random Forest,24288.519425587587,16219.573889557183,0.8932003450552755
